"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_0142" 1969 1758 2177 547 154 607 585 376 604 2392 2619 2902
"STM14_0143" 5 2 1 3 1 0 1 1 1 10 20 34
"STM14_0144" 38 31 45 16 6 6 7 7 9 53 74 94
"STM14_0145" 1966 2082 2677 555 112 342 574 393 761 2622 2446 3037
"STM14_0146" 2709 2515 2917 610 119 380 666 482 844 3394 3381 3688
"STM14_0147" 1104 937 1160 237 27 133 190 124 310 1214 968 1089
"STM14_0148" 2598 2676 2923 684 158 529 635 476 831 2595 2234 2758
"STM14_0149" 1615 1687 1817 356 96 234 336 207 349 1250 929 1056
"STM14_0150" 1421 1505 1622 386 84 259 355 190 300 1113 823 895
"STM14_0151" 1440 1432 1712 363 63 273 356 177 335 1070 937 957
"STM14_0152" 1506 1601 1620 285 59 260 312 201 328 1140 925 917
"STM14_0153" 964 1083 1215 221 42 211 221 118 287 743 644 634
"STM14_0154" 678 656 733 143 36 126 126 97 144 483 411 436
"STM14_0155" 2425 2530 2868 463 92 353 493 359 522 1656 1402 1360
"STM14_0156" 2160 2248 2437 352 95 307 431 278 531 1656 1393 1507
"STM14_0157" 1149 1259 1287 191 65 175 260 217 322 1016 947 1072
"STM14_0158" 2715 2803 3020 518 122 455 673 509 766 2531 2425 2606
"STM14_0159" 8616 8942 9888 815 159 680 1303 812 1359 8141 6948 7750
"STM14_0160" 24883 23987 28590 5081 838 2741 5379 3691 6781 33795 32197 34295
"STM14_0161" 1337 1486 1556 364 79 215 261 207 288 1397 1403 1537
"STM14_0162" 9647 10606 11506 2747 622 1605 2060 1272 2108 7837 7107 7481
"STM14_0163" 143 204 209 20 8 16 9 14 34 123 118 131
"STM14_0164" 245 222 285 49 12 27 31 19 42 154 158 154
"STM14_0165" 203 195 250 60 12 36 46 19 30 112 136 166
"STM14_0166" 336 385 413 81 21 49 58 26 59 225 217 293
"STM14_0167" 1591 1836 1867 309 62 213 233 136 274 1102 1233 1479
"STM14_0168" 893 883 1104 190 44 120 197 116 222 895 990 1262
"STM14_0169" 6478 6593 7564 451 103 305 595 260 609 4414 3935 4512
"STM14_0170" 91 92 82 11 2 4 14 5 14 127 217 260
"STM14_0171" 37 24 43 3 0 1 3 1 2 40 104 118
"STM14_0172" 5 12 8 1 0 3 0 0 1 16 23 31
"STM14_0173" 10 9 11 1 0 2 2 1 1 9 15 16
"STM14_0174" 438 419 577 83 15 99 70 42 93 425 424 490
"STM14_0175" 925 994 1192 125 23 109 141 100 182 1062 1077 1297
"STM14_0176" 746 735 801 98 19 54 102 53 159 670 671 771
"STM14_0177" 105 105 126 23 5 11 23 13 18 106 147 184
"STM14_0178" 34 35 37 3 3 3 7 1 6 42 75 102
"STM14_0179" 2 3 3 2 0 0 0 0 1 1 6 13
"STM14_0180" 304 377 414 48 14 59 57 35 88 346 388 409
"STM14_0181" 9 8 3 1 0 1 0 3 3 7 1 8
"STM14_0182" 960 870 1193 213 41 135 268 201 312 921 1015 1119
"STM14_0183" 14444 13904 18023 1814 587 1420 2365 1285 2367 9397 8560 10849
"STM14_0184" 8207 7723 10282 1082 317 999 1467 725 1448 5693 5148 6061
"STM14_0185" 66322 56513 78374 5956 1739 6656 10937 6661 13121 81460 78294 79142
"STM14_0186" 11 12 21 1 1 1 5 3 5 19 21 24
"STM14_0187" 47 45 55 7 0 5 9 9 7 63 104 112
"STM14_0188" 17 30 23 1 0 2 8 1 5 17 34 42
"STM14_0189" 69 115 119 8 3 8 10 7 8 45 66 76
"STM14_0190" 30944 33193 36637 1893 577 2591 3982 1903 3654 30812 29837 32865
"STM14_0191" 2201 2298 2784 455 175 410 512 248 481 1795 1794 2230
"STM14_0192" 1561 1648 1852 305 74 295 393 288 536 2529 2425 2729
"STM14_0193" 74 69 76 19 6 21 46 24 78 90 108 366
"STM14_0194" 146 155 176 17 4 25 52 31 65 159 153 628
"STM14_0195" 339 370 401 43 9 56 116 64 104 363 303 1685
"STM14_0196" 856 851 1047 149 30 107 175 94 224 876 969 1758
"STM14_0197" 979 917 1143 820 180 636 412 276 435 693 622 704
"STM14_0198" 892 911 1091 597 168 556 348 286 415 619 612 661
"STM14_0199" 261 266 355 71 8 46 69 41 88 402 446 583
"STM14_0200" 298 387 391 43 10 30 31 15 38 269 315 333
"STM14_0201" 566 612 730 14 6 27 24 14 31 300 387 494
"STM14_0202" 1140 1167 1403 334 57 157 222 141 273 796 737 834
"STM14_0203" 5365 6099 7491 804 198 561 736 426 1060 3701 3692 5718
"STM14_0204" 390 511 519 89 33 52 62 48 88 376 328 490
"STM14_0205" 251 286 323 61 12 31 40 27 51 238 216 237
"STM14_0206" 107 114 145 25 5 10 16 15 25 110 160 173
"STM14_0207" 50 45 56 6 0 7 9 3 4 48 73 106
"STM14_0208" 12 9 10 8 0 2 2 0 1 22 45 62
"STM14_0209" 63 45 55 8 2 4 9 7 14 110 126 132
"STM14_0210" 1 4 5 2 0 0 1 0 1 8 7 20
"STM14_0211" 27 26 20 7 1 4 4 6 7 54 79 99
"STM14_0212" 393 411 464 88 25 31 67 35 72 416 514 563
"STM14_0213" 1220 1339 1384 164 34 83 148 83 183 969 915 1011
"STM14_0214" 825 878 1007 221 29 70 107 70 110 663 637 656
"STM14_0215" 10 7 10 9 0 5 2 3 2 5 14 8
"STM14_0216" 340 408 441 59 18 39 72 38 45 290 283 299
"STM14_0217" 251 265 257 70 17 47 44 36 45 217 221 174
"STM14_0218" 2715 2692 3007 816 161 393 455 339 418 2564 2303 2065
"STM14_0219" 657 694 775 167 39 78 115 70 137 457 473 500
"STM14_0220" 24576 24770 29212 3262 756 2582 4754 2790 7052 24930 22451 25682
"STM14_0221" 1123 1147 1431 155 46 109 150 95 178 1226 1197 1358
"STM14_0222" 243 229 265 48 10 39 44 43 44 253 241 248
"STM14_0223" 922 875 1091 159 41 126 189 118 178 963 914 1019
"STM14_0224" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_0225" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_0226" 4911 4758 5691 960 210 573 839 564 973 4612 4122 4598
"STM14_0227" 7 6 2 5 0 0 0 1 1 9 15 15
"STM14_0228" 4155 4332 4936 396 152 236 64 105 101 2563 1641 1965
"STM14_0229" 290 339 327 40 9 23 9 9 6 184 114 129
"STM14_0230" 155 163 178 24 14 12 5 2 2 97 61 71
"STM14_0231" 170 142 212 30 10 24 5 2 8 110 94 132
"STM14_0232" 4 9 7 3 0 1 0 1 0 14 11 12
"STM14_0233" 1 0 0 1 0 0 0 0 1 2 6 4
"STM14_0234" 93 90 116 7 3 3 15 5 9 102 81 87
"STM14_0235" 70 63 74 6 5 6 8 5 9 94 113 135
"STM14_0236" 10 15 12 1 1 2 3 0 0 12 11 7
"STM14_0237" 3 11 2 1 0 0 0 0 1 7 6 2
"STM14_0238" 18 19 9 0 0 1 0 1 5 18 8 16
"STM14_0239" 8 9 5 2 0 1 4 0 0 8 15 9
"STM14_0240" 79 78 86 13 2 9 12 10 16 89 101 125
"STM14_0241" 1184 1264 1403 342 83 244 261 152 241 1379 1255 1371
"STM14_0242" 1 0 0 0 0 0 0 0 0 0 0 1
"STM14_0243" 247 306 401 39 10 20 38 21 39 229 268 349
"STM14_0244" 2088 2458 2552 554 114 314 396 201 538 2385 2117 2561
"STM14_0245" 550 711 647 140 16 94 99 80 84 923 977 1132
"STM14_0246" 390 396 480 99 24 71 80 61 69 367 392 377
"STM14_0247" 1363 1317 1373 394 74 326 319 237 314 1147 1093 1021
"STM14_0248" 386 429 498 82 16 39 111 64 107 409 388 570
"STM14_0249" 4621 5574 5688 604 190 515 1592 891 2051 4234 3953 5480
"STM14_0250" 1401 676 1099 89 25 111 98 55 119 491 597 731
"STM14_0251" 5148 6531 7165 532 156 513 803 299 928 4424 4205 5212
"STM14_0252" 496 502 584 94 18 86 105 82 119 510 505 610
"STM14_0253" 4394 4744 5299 962 271 985 1043 584 1058 4306 4035 4595
"STM14_0254" 1417 1406 1620 232 42 130 204 165 170 1405 1488 1458
"STM14_0255" 4169 3773 4489 937 234 592 891 691 935 3877 3549 3757
"STM14_0256" 2159 2364 2570 506 203 546 504 532 553 2373 2096 2263
"STM14_0257" 47481 43340 52235 14873 2966 6224 11662 9156 11466 50302 44038 43479
"STM14_0258" 36556 32954 39234 10588 2208 4798 8859 6902 9622 34717 30745 30169
"STM14_0259" 5769 5723 5799 1987 347 673 1186 1019 1276 4505 4006 3706
"STM14_0260" 8344 8379 9306 2232 454 1155 1712 1256 1884 8151 7376 7768
"STM14_0261" 1567 1549 1671 486 81 194 255 179 290 1270 1208 1315
"STM14_0262" 152 157 165 48 12 24 47 19 22 107 118 130
"STM14_0263" 661 667 782 220 57 116 162 107 173 598 567 755
"STM14_0264" 1064 1210 1346 263 64 178 189 140 273 999 989 1205
"STM14_0265" 3128 3474 3972 600 114 391 611 320 675 3146 3160 3797
