"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_2974" 39 37 42 15 1 7 17 8 10 86 114 139
"STM14_2975" 1 4 2 5 1 2 3 1 1 16 18 28
"STM14_2976" 22 21 20 5 2 1 4 3 5 58 68 106
"STM14_2977" 1 5 5 1 0 0 1 2 1 25 46 68
"STM14_2978" 21 28 30 1 0 1 1 5 8 46 81 105
"STM14_2979" 117 133 113 9 5 11 7 10 15 136 154 182
"STM14_2980" 280 280 349 64 7 23 36 27 56 256 312 354
"STM14_2981" 104 91 124 21 4 14 22 9 19 143 136 164
"STM14_2982" 829 809 1037 178 51 165 156 75 153 1412 1721 1730
"STM14_2983" 1689 1694 2166 295 61 339 298 182 365 3495 3931 4010
"STM14_2984" 833 836 1076 159 42 117 208 104 206 817 865 923
"STM14_2985" 15433 29669 16939 434 113 336 542 372 692 27293 20807 15951
"STM14_2986" 37 81 43 5 0 2 2 2 2 46 56 50
"STM14_2987" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_2988" 519 513 679 77 24 94 93 72 137 616 510 646
"STM14_2989" 8869 8914 12150 1417 373 1147 1571 1065 1864 8305 8230 10791
"STM14_2990" 26586 25306 35537 5301 1461 4148 5325 3257 6158 22421 23320 32551
"STM14_2991" 12934 11590 16684 2628 577 1699 2309 1461 2827 9769 10318 13809
"STM14_2992" 73 76 89 20 1 9 9 9 21 49 65 56
"STM14_2993" 266 153 276 33 11 22 60 37 66 158 191 268
"STM14_2994" 135 103 137 24 8 17 22 17 20 94 125 158
"STM14_2995" 191 164 245 22 4 16 32 20 51 143 166 196
"STM14_2996" 53 43 98 8 2 5 7 6 10 50 54 70
"STM14_2997" 68 85 76 15 1 10 10 11 10 83 95 125
"STM14_2998" 260 370 312 45 12 29 37 14 34 264 288 362
"STM14_2999" 1675 3790 1606 3 1 1 6 4 6 3489 1491 524
"STM14_3000" 779 1755 820 5 1 2 4 4 3 1642 1015 523
"STM14_3001" 872 1982 980 8 6 4 18 9 20 2222 1569 894
"STM14_3002" 2530 5655 3057 5 1 2 8 5 8 7662 4962 2949
"STM14_3003" 6554 7026 7041 1160 277 796 1316 711 1656 7513 7760 7658
"STM14_3004" 1296 1230 1527 396 78 242 344 248 347 1692 1505 1455
"STM14_3005" 670 799 834 91 26 74 114 65 87 1080 1050 988
"STM14_3006" 474 481 539 78 10 39 95 50 84 695 657 723
"STM14_3007" 796 931 1019 102 24 64 130 87 165 1166 1171 1223
"STM14_3008" 534 476 589 215 77 115 152 120 169 710 834 873
"STM14_3009" 317 287 332 100 25 61 60 45 74 316 396 402
"STM14_3010" 46 35 58 27 4 13 13 10 9 54 47 59
"STM14_3011" 367 419 416 74 21 47 68 39 75 357 415 543
"STM14_3012" 74 128 116 9 5 3 6 4 13 107 121 135
"STM14_3013" 46 57 51 3 0 4 0 1 3 45 58 57
"STM14_3014" 64 80 78 1 0 1 0 0 4 68 48 86
"STM14_3015" 34 82 63 1 1 1 2 0 3 53 53 55
"STM14_3016" 89 95 95 5 4 4 3 0 2 92 84 125
"STM14_3017" 30 37 30 1 2 0 2 1 1 30 29 50
"STM14_3018" 65 78 93 5 1 3 1 0 6 70 96 89
"STM14_3019" 7 16 14 3 0 0 0 0 1 6 21 15
"STM14_3020" 12 11 12 0 0 3 0 0 0 9 21 16
"STM14_3021" 18 37 34 4 1 3 4 1 0 37 42 51
"STM14_3022" 10 18 7 0 0 0 1 0 1 10 19 28
"STM14_3023" 18 25 20 1 2 1 2 0 3 13 28 26
"STM14_3024" 12 16 16 2 0 2 0 4 2 10 26 24
"STM14_3025" 24 32 22 2 2 1 1 0 5 34 39 50
"STM14_3026" 26 31 17 0 1 1 1 0 2 33 46 69
"STM14_3027" 11 15 7 0 0 1 4 0 0 13 22 21
"STM14_3028" 4 7 4 1 0 0 0 0 1 6 22 13
"STM14_3029" 554 574 701 170 35 119 134 84 143 830 902 1038
"STM14_3030" 143 197 182 55 15 20 33 18 43 208 220 196
"STM14_3031" 7866 8701 9470 739 208 756 1160 539 1209 6538 6294 6947
"STM14_3032" 29 30 31 4 0 6 7 7 10 26 26 32
"STM14_3033" 1951 2680 3011 68 21 91 201 89 169 2039 1796 2799
"STM14_3034" 4849 6566 6865 151 45 126 324 122 258 4739 3673 6077
"STM14_3035" 230 294 337 29 13 20 44 25 68 248 219 338
"STM14_3036" 8 7 10 0 0 0 1 1 3 12 7 14
"STM14_3037" 168 140 224 48 10 25 31 25 26 156 188 265
"STM14_3038" 388 394 458 86 20 59 76 68 79 269 257 364
"STM14_3039" 104 144 160 16 4 8 14 20 19 143 199 277
"STM14_3040" 189 139 198 39 5 27 48 28 110 225 239 268
"STM14_3041" 40 39 42 4 0 5 5 1 4 62 97 105
"STM14_3042" 105 136 182 23 8 14 22 24 24 134 206 212
"STM14_3043" 3 3 3 1 0 1 1 0 0 5 7 3
"STM14_3044" 1127 1362 1699 248 65 106 591 327 695 1585 1435 2560
"STM14_3045" 125 174 173 33 12 34 32 14 33 200 255 350
"STM14_3046" 262 309 338 76 23 84 63 33 54 307 371 496
"STM14_3047" 152 182 209 28 10 21 27 15 31 112 126 189
"STM14_3048" 372 383 369 48 9 45 38 18 48 268 324 375
"STM14_3049" 344 365 458 79 16 39 58 41 67 327 335 420
"STM14_3050" 1765 1673 2152 373 57 176 373 282 403 1635 1385 1354
"STM14_3051" 5679 5179 6379 1278 288 1144 905 589 994 5465 5707 5647
"STM14_3052" 5740 5653 7094 1099 261 940 842 615 1193 5382 5741 6155
"STM14_3053" 1183 1170 1542 231 79 260 290 182 300 1162 1243 1468
"STM14_3054" 4991 5174 6835 809 233 936 1007 514 1273 5045 4910 5592
"STM14_3055" 679 637 798 112 30 99 144 74 152 783 865 1062
"STM14_3056" 107 110 135 35 8 9 16 14 17 124 125 157
"STM14_3057" 563 589 687 157 33 79 107 56 124 723 711 746
"STM14_3058" 1457 1569 1797 209 59 170 278 186 283 1661 1634 1914
"STM14_3059" 904 907 1127 125 17 84 102 75 151 641 599 662
"STM14_3060" 822 901 1038 214 36 109 132 114 167 813 868 933
"STM14_3061" 366 336 376 103 19 50 51 37 36 205 185 184
"STM14_3062" 2625 2629 3287 823 121 399 581 358 697 2486 2140 2343
"STM14_3063" 9 9 19 1 1 0 2 5 5 13 20 22
"STM14_3064" 1045 924 1086 375 42 97 184 119 174 641 630 584
"STM14_3065" 669 626 816 197 38 65 123 112 148 563 547 617
"STM14_3066" 3515 4212 4690 583 157 519 580 319 643 3222 3231 4679
"STM14_3067" 1626 1996 2173 305 78 241 246 132 303 1096 1164 1569
"STM14_3068" 53 79 66 15 2 13 13 6 12 96 160 207
"STM14_3069" 0 1 0 1 0 0 0 0 0 5 10 15
"STM14_3070" 2 4 1 0 0 0 0 0 0 4 5 3
"STM14_3071" 102 106 145 16 9 12 29 16 33 209 240 324
"STM14_3072" 267 277 307 66 20 56 87 64 103 731 990 1446
"STM14_3073" 53 68 97 9 3 6 13 16 18 307 492 776
"STM14_3074" 62 36 69 17 1 4 10 12 14 232 400 522
"STM14_3075" 3160 3375 3857 2011 248 584 819 589 828 1913 1896 2132
"STM14_3076" 827 837 978 739 99 201 318 280 231 591 548 781
"STM14_3077" 463 438 597 146 37 111 89 74 72 591 586 627
"STM14_3078" 208 234 300 34 4 21 34 19 29 221 316 392
"STM14_3079" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_3080" 1 0 1 0 0 1 1 0 0 0 6 1
"STM14_3081" 0 0 0 0 0 0 0 0 0 0 4 0
"STM14_3082" 574 522 639 111 20 78 75 40 72 348 432 593
"STM14_3083" 481 530 590 34 6 29 34 33 47 366 406 560
"STM14_3084" 41 67 54 12 5 6 23 10 27 65 85 104
"STM14_3085" 17 22 21 10 0 6 7 2 3 33 54 74
"STM14_3086" 0 0 1 2 0 0 1 0 0 5 4 2
"STM14_3087" 12 12 17 4 1 2 2 3 5 21 19 15
"STM14_3088" 92 123 149 43 9 18 25 14 29 107 96 119
"STM14_3089" 1128 1192 1389 521 69 216 226 166 261 1160 1041 1131
"STM14_3090" 32 65 73 28 5 13 10 12 12 50 35 39
"STM14_3091" 4343 4302 5104 1228 207 530 809 488 890 4101 3246 3827
"STM14_3092" 1884 1926 2310 669 128 280 420 260 392 1626 1383 1586
"STM14_3093" 4245 4414 5049 1231 238 625 790 517 757 3594 3303 3604
"STM14_3094" 4209 4241 5349 846 141 507 792 534 664 5395 4758 5410
"STM14_3095" 2774 2716 3395 618 127 370 592 433 521 3575 3573 4116
"STM14_3096" 187 182 182 97 14 38 25 10 56 149 100 121
"STM14_3097" 3275 3491 3812 1006 207 377 511 387 591 2392 1976 1818
"STM14_3098" 4815 4445 5484 705 232 644 797 379 989 2650 2299 2360
"STM14_3099" 0 0 0 0 0 0 0 0 0 2 3 1
"STM14_3100" 99 116 109 11 2 19 22 17 29 103 153 133
"STM14_3101" 18 9 14 1 0 1 3 3 7 9 15 25
"STM14_3102" 18 17 25 2 0 3 3 4 4 23 24 30
"STM14_3103" 58 63 82 19 1 14 13 7 16 65 109 131
"STM14_3104" 56 98 84 16 3 10 14 12 7 54 69 68
"STM14_3105" 1309 1479 1668 169 43 207 185 98 219 1156 1184 1434
"STM14_3106" 1003 1072 1292 132 31 119 142 76 186 837 726 805
"STM14_3107" 39 38 49 4 0 3 3 4 8 50 52 63
"STM14_3108" 127 139 159 24 4 15 25 11 35 197 262 308
"STM14_3109" 27 31 39 5 3 3 9 5 8 45 53 60
"STM14_3110" 654 677 696 230 55 100 153 118 129 436 508 536
"STM14_3111" 1365 1507 1335 341 100 243 278 235 210 1085 1057 1223
"STM14_3112" 1092 1295 1183 492 78 182 245 218 248 1046 931 905
"STM14_3113" 2169 2841 2334 830 181 414 519 434 400 2306 1907 2000
"STM14_3114" 2796 3438 2885 1143 244 690 627 495 560 3351 3395 3315
"STM14_3115" 1615 2093 1801 718 139 331 320 249 258 1896 1701 1866
"STM14_3116" 3707 4789 4250 1487 294 866 791 568 869 4143 3345 3738
"STM14_3117" 3522 4713 4133 1362 294 808 724 556 794 4145 3197 3716
"STM14_3118" 7779 10482 8617 2933 721 1956 1591 1250 1506 9370 7632 8707
"STM14_3119" 239 411 274 113 31 85 68 38 44 364 286 343
"STM14_3120" 1789 2748 2155 672 147 589 355 257 334 2593 2291 2602
"STM14_3121" 1155 1103 1351 433 95 313 312 305 383 1843 1721 1550
"STM14_3122" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_3123" 0 0 0 0 0 0 0 0 0 0 0 0
"STM14_3124" 1468 1331 1657 812 74 124 190 203 228 1182 1058 1006
"STM14_3125" 106 92 98 40 9 9 8 15 30 152 205 196
"STM14_3126" 22 11 22 0 1 1 6 2 2 22 44 39
"STM14_3127" 32 25 29 7 1 1 0 2 2 46 40 53
"STM14_3128" 79 82 107 8 0 8 8 8 9 83 126 104
"STM14_3129" 78 80 104 10 0 9 11 12 16 110 134 143
"STM14_3130" 91 120 132 23 6 17 28 15 21 130 138 160
"STM14_3131" 617 855 868 67 20 81 104 47 129 582 598 846
"STM14_3132" 273 316 319 113 11 88 79 72 72 382 404 342
"STM14_3133" 25358 24065 27924 3464 768 3017 3833 2614 3732 26552 24360 22585
"STM14_3134" 5 4 9 2 0 0 0 1 2 7 13 10
"STM14_3135" 752 676 883 76 20 60 116 102 152 723 738 732
"STM14_3136" 1567 1486 1846 531 92 288 308 254 415 1915 1711 1821
"STM14_3137" 189 218 210 50 5 10 48 47 60 227 325 338
"STM14_3138" 278 275 324 72 13 29 80 87 77 306 350 433
"STM14_3139" 512 511 588 83 17 51 73 55 113 412 451 550
"STM14_3140" 876 904 1149 155 27 115 154 61 175 656 556 656
"STM14_3141" 1084 1282 1351 164 52 148 161 88 161 1065 1049 1246
"STM14_3142" 631 774 762 56 21 60 87 62 112 708 731 826
"STM14_3143" 497 470 613 71 20 83 101 51 133 627 625 715
"STM14_3144" 1 1 5 1 0 1 2 2 0 1 2 2
"STM14_3145" 1443 1445 1655 500 43 148 230 220 228 1168 1033 973
"STM14_3146" 3 2 1 2 1 1 0 0 2 9 2 5
"STM14_3147" 386 450 595 111 23 39 69 64 82 472 440 526
"STM14_3148" 202 229 276 34 8 40 25 33 54 190 180 234
"STM14_3149" 492 569 669 56 12 42 56 25 89 446 482 652
"STM14_3150" 141 159 185 30 6 35 18 16 25 169 199 244
"STM14_3151" 115 126 143 38 5 30 34 14 39 105 125 156
"STM14_3152" 169 161 213 25 10 22 26 8 53 179 267 320
"STM14_3153" 97 105 124 23 7 19 21 13 31 222 316 357
"STM14_3154" 17 24 25 3 1 3 7 4 2 80 135 156
"STM14_3155" 346 351 411 130 37 83 80 45 71 349 379 442
"STM14_3156" 141 132 114 51 12 32 21 21 28 127 185 218
"STM14_3157" 233 238 300 80 9 34 43 28 42 243 307 336
"STM14_3158" 430 494 515 145 25 62 61 59 64 472 518 591
"STM14_3159" 401 376 436 159 33 78 66 38 61 400 497 547
"STM14_3160" 1633 1680 1795 515 88 249 216 167 214 1587 1718 1882
"STM14_3161" 1082 1209 1354 343 46 151 205 148 191 1325 1340 1410
"STM14_3162" 3512 3482 4103 1151 211 532 793 555 870 3064 2734 3154
"STM14_3163" 4203 4242 5363 1612 283 730 1108 657 1071 4128 3715 4022
"STM14_3164" 277 305 378 88 23 56 61 27 68 235 293 401
"STM14_3165" 8 6 3 0 0 1 1 2 1 23 37 47
"STM14_3166" 405 479 627 33 7 31 63 33 66 525 643 1033
"STM14_3167" 104 77 153 17 1 6 33 19 35 105 120 161
"STM14_3168" 26 25 37 3 0 3 5 2 9 53 97 135
"STM14_3169" 5 17 13 1 0 0 2 0 1 12 38 49
"STM14_3170" 163 152 194 21 2 20 22 16 28 201 280 329
"STM14_3171" 4 0 3 0 0 2 0 0 0 3 2 7
"STM14_3172" 78 88 116 5 3 11 7 14 15 101 108 120
"STM14_3173" 16 9 12 1 0 2 3 1 7 23 40 26
"STM14_3174" 20 25 23 3 0 0 1 1 1 21 35 24
"STM14_3175" 104 126 118 11 0 19 20 10 23 114 102 113
"STM14_3176" 40 31 40 9 1 2 4 5 5 35 27 41
"STM14_3177" 336 332 369 45 11 38 59 30 66 358 379 448
"STM14_3178" 14 8 13 3 2 1 1 1 1 11 25 24
"STM14_3179" 22 17 27 3 2 1 4 5 6 28 37 41
"STM14_3180" 319 379 431 44 7 35 54 21 68 394 377 430
"STM14_3181" 83 98 108 11 0 21 9 9 18 99 72 97
"STM14_3182" 2033 2058 2605 398 124 333 384 287 535 2144 2371 2800
"STM14_3183" 682 607 785 214 36 220 152 91 272 440 401 550
"STM14_3184" 29 23 44 4 0 2 3 2 2 42 49 54
"STM14_3185" 35 35 40 4 2 2 2 1 3 29 35 37
"STM14_3186" 134 149 204 18 3 14 18 11 24 135 158 197
"STM14_3187" 39 49 58 3 1 6 5 3 2 27 35 36
"STM14_3188" 64 72 102 13 4 15 12 8 15 80 94 111
"STM14_3189" 160 161 154 26 8 23 21 15 30 162 209 240
"STM14_3190" 10 8 16 1 0 0 0 2 2 11 10 16
"STM14_3191" 76 91 70 21 3 8 10 7 16 86 142 171
"STM14_3192" 8 8 13 1 0 0 1 0 2 16 24 25
"STM14_3193" 108 130 134 31 9 25 34 15 30 176 148 199
"STM14_3194" 27 23 30 4 0 3 2 6 5 57 94 94
"STM14_3195" 16 19 27 1 3 1 3 2 9 31 54 65
"STM14_3196" 2 14 13 3 0 1 2 1 1 38 46 50
"STM14_3197" 4 5 4 1 0 1 1 0 0 10 18 16
"STM14_3198" 179 253 262 51 14 30 53 26 39 216 272 385
"STM14_3199" 82 123 157 11 3 10 20 3 10 129 172 203
"STM14_3201" 75 112 112 19 3 7 27 12 14 140 253 273
"STM14_3202" 18 21 35 3 3 3 5 0 7 32 36 44
"STM14_3203" 10 13 19 2 0 1 3 2 0 43 67 66
"STM14_3204" 3 6 2 0 0 0 0 0 0 2 7 5
"STM14_3205" 15 10 18 4 1 1 1 2 0 40 69 79
"STM14_3206" 79 81 87 26 0 12 9 6 12 126 117 144
"STM14_3207" 201 181 270 23 7 15 26 23 37 396 581 721
"STM14_3208" 190 186 193 30 8 12 37 18 46 403 476 615
"STM14_3209" 215 181 260 20 9 16 44 20 52 399 486 594
"STM14_3210" 310 294 383 36 6 27 45 31 79 567 638 754
"STM14_3211" 544 651 593 113 24 57 70 64 98 318 335 404
"STM14_3212" 178 253 204 18 1 10 28 19 41 146 147 163
"STM14_3213" 120 132 149 10 4 13 20 8 19 82 69 91
"STM14_3214" 160 209 197 17 4 16 40 20 40 139 226 248
"STM14_3215" 141 177 165 13 3 11 35 12 22 144 191 188
"STM14_3216" 35 49 45 4 0 1 4 5 5 61 77 94
"STM14_3217" 973 1072 1259 385 103 267 300 206 378 1193 1144 1533
"STM14_3218" 1957 2143 2369 830 184 509 539 355 636 1774 1851 2154
"STM14_3219" 520 611 697 236 54 138 163 103 173 448 463 578
"STM14_3220" 1032 1137 1187 433 102 274 323 164 317 860 837 1052
"STM14_3221" 65 85 57 12 2 7 6 5 7 34 41 57
"STM14_3222" 43 56 45 7 1 3 3 2 5 25 25 18
"STM14_3223" 259 348 284 42 13 20 27 26 23 145 125 172
"STM14_3224" 528 819 600 71 22 34 47 26 27 232 266 332
"STM14_3225" 323 424 321 40 3 15 38 22 19 124 135 172
"STM14_3226" 53 55 35 2 2 1 1 3 6 31 28 55
"STM14_3227" 57 96 72 7 1 9 5 8 14 48 49 63
"STM14_3228" 177 165 205 39 9 16 31 14 39 181 245 347
"STM14_3229" 3 1 7 1 0 0 0 0 2 4 15 25
"STM14_3230" 15 12 11 3 1 1 2 0 0 15 24 45
"STM14_3231" 211 239 282 48 12 33 23 16 36 233 229 246
"STM14_3232" 1444 1551 1855 163 53 122 173 78 173 1328 1323 1583
"STM14_3233" 4352 4964 5493 295 69 223 379 198 475 7125 6586 8648
"STM14_3234" 1787 2022 2417 192 37 110 214 115 275 2675 2482 3195
"STM14_3235" 157 162 198 35 7 20 32 14 42 159 164 215
"STM14_3236" 5 5 5 1 0 0 0 0 2 3 7 14
"STM14_3237" 188 224 230 30 11 39 35 17 57 189 215 311
"STM14_3238" 312 376 411 77 26 45 62 33 72 274 269 280
"STM14_3239" 11 9 14 2 0 3 1 1 2 11 21 10
"STM14_3240" 3392 3446 3797 800 157 418 561 346 558 3201 2680 3108
"STM14_3241" 170 152 207 28 6 27 27 11 40 195 199 314
"STM14_3242" 40 60 61 6 3 0 7 1 4 47 44 54
"STM14_3243" 100 84 184 17 3 10 20 12 36 73 82 91
"STM14_3244" 975 943 1169 161 44 123 187 97 236 1098 1051 1349
"STM14_3245" 500 621 786 94 25 67 71 35 85 604 543 651
"STM14_3246" 1045 1103 1390 144 35 119 197 120 255 1009 983 1162
"STM14_3247" 565 627 627 117 23 65 76 63 92 456 487 594
"STM14_3248" 3278 3719 3894 598 150 602 585 288 549 2654 2596 2858
"STM14_3249" 113 130 153 23 12 18 29 8 17 90 77 79
"STM14_3250" 3656 3987 4426 748 214 534 469 293 558 2337 2002 2456
"STM14_3251" 123 138 141 35 7 27 26 10 36 83 85 103
"STM14_3252" 300 308 383 21 7 36 26 15 37 338 346 425
"STM14_3253" 76 105 125 2 0 1 5 2 3 52 49 70
"STM14_3255" 34 43 43 120 26 62 79 65 89 36 25 23
"STM14_3259" 764 612 956 1513 390 829 899 779 913 1123 963 1198
"STM14_3260" 46 32 51 28 10 68 53 18 45 34 38 35
"STM14_3261" 18384 17237 24174 4502 1321 11743 9849 5533 14211 16280 14567 17692
"STM14_3262" 1556 1729 1914 300 68 173 307 217 349 1526 1654 2006
"STM14_3263" 2279 2172 2881 414 98 286 408 293 528 1983 2217 2809
"STM14_3264" 3927 3975 4935 1010 273 761 895 614 1079 3440 3218 3856
"STM14_3265" 33 27 53 12 5 10 7 10 13 41 38 32
"STM14_3266" 20675 28061 25696 2005 844 3040 7035 3350 9686 31635 37951 55010
"STM14_3267" 89 101 94 28 6 15 22 13 43 60 63 90
"STM14_3268" 970 909 1365 182 50 123 187 107 199 892 759 852
"STM14_3269" 525 618 744 43 6 41 56 27 55 420 368 483
"STM14_3270" 762 767 950 133 29 137 155 115 180 1365 1446 1420
"STM14_3271" 1085 1074 1237 226 64 204 251 202 300 1638 1857 1978
"STM14_3272" 2 1 3 1 0 1 3 1 1 5 6 15
"STM14_3273" 0 0 0 0 0 0 0 0 0 0 0 3
"STM14_3274" 163 173 230 128 22 60 67 39 91 337 474 560
"STM14_3275" 230 269 295 124 36 98 78 42 117 411 548 697
"STM14_3276" 10324 9030 10944 5459 955 2755 3105 2358 3204 11133 10005 9265
"STM14_3277" 15611 13862 15683 7622 1251 3839 4432 3388 4570 16924 15485 14066
"STM14_3278" 14095 12239 14999 6596 1199 3529 3778 3140 4052 15147 13002 12199
"STM14_3279" 3899 3537 4209 1875 382 1134 1001 956 1196 3919 3187 2991
"STM14_3280" 353 307 368 129 23 66 78 61 96 381 351 371
"STM14_3281" 4230 4370 4745 1278 217 574 913 733 873 5182 3984 4359
"STM14_3282" 11 9 20 2 1 0 1 1 2 15 8 14
"STM14_3283" 1309 1227 1447 318 66 185 207 198 270 1657 1600 1638
"STM14_3284" 1793 1647 1983 502 97 255 338 241 346 2198 1929 2079
"STM14_3285" 306 331 372 107 39 114 133 59 132 277 324 399
"STM14_3286" 4523 4461 5228 1706 397 3364 2493 1290 3687 3747 3661 3835
"STM14_3288" 678 731 908 119 26 84 141 94 182 601 710 888
"STM14_3289" 1408 1362 1700 140 38 157 236 131 221 2879 3108 2744
"STM14_3290" 1516 1597 1782 328 93 256 282 188 364 1547 1298 1487
"STM14_3291" 242 244 317 88 19 47 58 41 60 303 279 251
"STM14_3292" 833 703 924 177 34 111 175 105 179 814 771 761
"STM14_3293" 1569 1592 1870 298 65 208 352 210 387 1825 1516 1733
"STM14_3294" 1742 1786 2161 291 73 211 289 207 400 1735 1594 1912
"STM14_3295" 2 4 7 1 0 0 1 0 3 3 4 15
"STM14_3296" 8 13 14 1 0 1 0 0 0 15 20 25
"STM14_3297" 575 960 926 28 4 21 37 19 40 416 497 816
"STM14_3298" 140 175 158 17 1 12 8 11 27 143 174 177
"STM14_3299" 37 81 73 7 0 4 2 3 6 39 36 42
"STM14_3300" 53 80 88 7 2 10 7 3 15 51 73 106
"STM14_3301" 465118 457628 605671 85155 17805 52241 82996 61069 107746 560665 471285 552866
"STM14_3302" 227 295 290 26 6 16 46 24 69 193 223 334
"STM14_3303" 23 16 32 2 1 0 8 1 3 20 19 21
"STM14_3304" 57 61 92 2 2 7 7 9 18 55 71 95
"STM14_3305" 440 499 527 161 27 102 141 67 145 465 560 724
"STM14_3306" 172 205 240 52 12 21 44 20 71 265 272 396
"STM14_3307" 8 6 12 1 1 0 0 1 2 8 6 9
"STM14_3308" 31 10 34 2 0 0 3 1 5 28 39 62
"STM14_3309" 1 1 2 1 0 0 0 0 0 6 14 11
"STM14_3310" 776 924 850 283 73 137 196 100 188 516 454 568
"STM14_3311" 357 427 410 174 49 83 114 68 129 291 356 434
"STM14_3312" 55 43 51 30 4 5 17 7 27 72 71 53
"STM14_3313" 424 487 523 118 23 93 109 71 121 458 452 470
"STM14_3314" 12 10 4 0 0 0 1 1 1 14 17 14
"STM14_3315" 3 3 0 0 0 0 0 0 0 6 9 8
"STM14_3316" 1 1 0 0 0 0 0 0 1 4 15 11
"STM14_3317" 7 2 4 0 0 1 0 0 0 9 34 45
"STM14_3318" 84 75 104 18 4 6 11 15 11 151 185 207
"STM14_3319" 854 921 855 521 100 208 319 202 298 749 614 555
"STM14_3320" 18 22 21 6 0 4 9 2 2 32 44 51
"STM14_3321" 4 5 6 2 0 0 0 0 0 3 15 18
"STM14_3322" 11 12 13 1 0 1 1 0 0 12 13 15
"STM14_3323" 15 13 15 0 1 1 0 0 1 16 27 38
"STM14_3324" 0 0 2 0 0 0 0 0 1 4 1 4
"STM14_3325" 19 24 18 0 0 1 3 2 2 41 48 61
"STM14_3326" 10 8 5 1 0 1 0 0 1 2 11 12
"STM14_3327" 53 51 45 4 1 3 6 2 5 80 136 168
"STM14_3328" 138 170 172 55 11 12 46 24 56 142 211 232
"STM14_3329" 84 127 116 38 8 22 32 13 38 92 99 129
"STM14_3331" 5 23 15 4 0 2 0 2 4 26 27 43
"STM14_3332" 19 29 34 0 0 3 6 0 4 22 49 37
"STM14_3333" 459 564 559 139 32 95 122 48 147 191 289 348
"STM14_3334" 2607 2986 3154 628 175 415 546 239 657 1382 1323 1927
"STM14_3335" 42 43 42 7 2 3 3 2 11 36 47 75
"STM14_3336" 103 91 126 19 6 13 17 10 15 269 548 642
"STM14_3337" 69 81 64 221 33 140 121 92 125 54 53 109
"STM14_3338" 23664 22717 25111 14022 3390 12654 13966 11009 20705 14032 15155 16863
"STM14_3339" 179 227 285 15 3 11 22 8 18 122 117 184
"STM14_3340" 13 21 19 0 0 4 2 0 1 12 17 40
"STM14_3341" 39 57 51 0 0 0 0 0 1 71 99 131
"STM14_3342" 3 4 3 0 0 1 0 0 0 5 11 15
"STM14_3343" 0 1 0 0 0 0 0 0 0 2 2 7
"STM14_3344" 65 61 97 6 1 6 13 4 14 185 311 411
"STM14_3345" 126 121 133 20 3 12 9 14 17 194 353 379
"STM14_3346" 28 32 37 2 0 3 2 1 0 23 51 65
"STM14_3347" 27 27 40 5 1 6 6 4 8 39 58 74
"STM14_3348" 61 70 90 13 5 4 9 5 9 156 225 263
"STM14_3349" 229 260 358 10 2 7 27 12 32 463 493 713
"STM14_3350" 753 803 1042 45 14 47 97 73 105 1269 1304 2104
"STM14_3351" 67 72 74 5 1 6 12 11 10 115 132 219
"STM14_3352" 406 454 611 83 14 32 232 124 342 421 691 1871
"STM14_3353" 10 10 20 8 1 1 8 13 9 21 42 91
"STM14_3354" 1407 1302 1914 259 76 166 581 267 783 908 1002 1931
"STM14_3355" 33 29 40 12 2 8 24 11 16 31 43 79
"STM14_3356" 266 318 413 29 4 22 70 22 107 315 426 680
"STM14_3357" 136 138 216 21 3 18 29 15 60 137 179 307
"STM14_3358" 389 460 533 55 21 43 107 44 127 532 750 1125
"STM14_3359" 620 590 726 71 25 159 178 101 238 815 965 1170
"STM14_3360" 742 672 853 54 33 152 207 105 335 876 1184 1431
"STM14_3361" 6458 5080 8221 83 34 70 335 94 461 5477 5453 4036
"STM14_3362" 1611 1188 1851 20 11 11 62 16 67 1210 1164 753
"STM14_3363" 4873 3648 6019 55 23 59 186 46 222 3651 3393 2387
"STM14_3364" 2 7 7 0 0 0 0 0 0 12 11 3
"STM14_3365" 761 942 1251 4 4 38 89 25 92 1453 1668 3062
"STM14_3366" 363 414 587 7 5 18 31 14 33 650 754 1359
"STM14_3367" 280 333 381 4 1 29 16 8 12 456 505 827
"STM14_3368" 307 428 445 18 1 29 25 11 16 567 597 854
"STM14_3369" 175 230 266 3 3 11 15 6 10 296 355 520
"STM14_3370" 398 438 487 12 7 18 29 18 36 389 393 554
"STM14_3371" 2069 2535 2878 40 11 41 117 59 161 1500 1494 2311
"STM14_3372" 34 38 48 2 0 2 5 7 7 47 33 57
"STM14_3373" 179 207 286 13 0 16 25 9 44 181 139 271
"STM14_3374" 38 33 33 3 1 4 8 1 12 34 58 71
"STM14_3375" 268 296 286 34 8 33 49 38 48 302 293 332
"STM14_3376" 716 741 915 130 21 48 127 89 138 845 721 731
"STM14_3377" 5989 6007 7159 745 126 322 909 573 999 7904 6338 6858
"STM14_3378" 7 12 11 3 0 0 1 0 2 14 15 20
